Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Integration_Time,Lamp_Power,Humidity,Temperature,Object
-8190746,-8187685,-8182621,-8193158,-8189847,-8190324,-8190491,-8189796,-8184777,-8187647,-8188087,-8189373,-8191115,-8188270,-8183479,-8187772,15,0,39,28,mantispectra_black_ref
-8190747,-8187684,-8182623,-8193152,-8189848,-8190302,-8190484,-8189818,-8184783,-8187658,-8188104,-8189381,-8191149,-8188292,-8183500,-8187798,15,0,39,29,mantispectra_black_ref
-8190743,-8187676,-8182629,-8193148,-8189839,-8190318,-8190483,-8189803,-8184776,-8187657,-8188106,-8189377,-8191129,-8188267,-8183498,-8187800,15,0,39,29,mantispectra_black_ref
-8190764,-8187679,-8182625,-8193170,-8189858,-8190321,-8190471,-8189786,-8184786,-8187642,-8188111,-8189385,-8191131,-8188280,-8183503,-8187800,15,0,39,29,mantispectra_black_ref
-8190754,-8187671,-8182621,-8193142,-8189850,-8190339,-8190495,-8189817,-8184767,-8187646,-8188122,-8189378,-8191132,-8188278,-8183490,-8187784,15,0,39,28,mantispectra_black_ref
-8190750,-8187674,-8182631,-8193160,-8189845,-8190320,-8190491,-8189799,-8184790,-8187661,-8188119,-8189386,-8191134,-8188274,-8183495,-8187772,15,0,39,28,mantispectra_black_ref
-8190740,-8187667,-8182620,-8193164,-8189839,-8190314,-8190491,-8189789,-8184768,-8187630,-8188088,-8189371,-8191114,-8188290,-8183497,-8187784,15,0,39,29,mantispectra_black_ref
-8190728,-8187652,-8182599,-8193149,-8189828,-8190301,-8190480,-8189776,-8184782,-8187631,-8188084,-8189370,-8191114,-8188252,-8183490,-8187769,15,0,39,28,mantispectra_black_ref
-8190751,-8187673,-8182612,-8193164,-8189837,-8190310,-8190485,-8189793,-8184766,-8187643,-8188096,-8189379,-8191118,-8188263,-8183470,-8187767,15,0,39,29,mantispectra_black_ref
-8190709,-8187658,-8182578,-8193126,-8189822,-8190291,-8190465,-8189776,-8184757,-8187635,-8188075,-8189348,-8191097,-8188260,-8183469,-8187763,15,0,39,29,mantispectra_black_ref
