,,0,1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,18,19
base,container / substrate,Milk,Almond Milk,Vinegar,Orange Juice,Ketchup,Soy Sauce,Water,Sugar Water,Olive oil,Vegetable Oil,Liquid Soap,Tylenol (PM),Ibuprofen,Salt,Sugar,Baking Soda,Flour,Coke
A,Silicone,A0,A1,A2,A3,A4,A6,A7,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19
B,Silicone,B0,B1,B2,B3,B4,B6,B7,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19
C,Silicone,C0,C1,C2,C3,C4,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
E,PP,E0,E1,E2,E3,E4,E6,E7,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19
F,PP,F0,F1,F2,F3,F4,F6,F7,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
G,PP,G0,G1,G2,G3,G4,G6,G7,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
H,PP,H0,H1,H2,H3,H4,H6,H7,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19
I,PP,I0,I1,I2,I3,I4,I6,I7,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
J,HDPE,J0,J1,J2,J3,J4,J6,J7,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19
K,Acrylic,K0,K1,K2,K3,K4,K6,K7,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19
L,Styrofoam,L0,L1,L2,L3,L4,L6,L7,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19
M,PET,M0,M1,M2,M3,M4,M6,M7,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19
N,Glass,N0,N1,N2,N3,N4,N6,N7,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
O,Glass,O0,O1,O2,O3,O4,O6,O7,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19
P,Aluminum,P0,P1,P2,P3,P4,P6,P7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
Q,Stainless Steel,Q0,Q1,Q2,Q3,Q4,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
R,Wood,R0,R1,R2,R3,R4,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19
S,Paper,S0,S1,S2,S3,S4,S6,S7,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
T,Quartz,T0,T1,T2,T3,T4,T6,T7,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
